raw_record_id,source_file,page,table_number_on_page,row_number,raw_row,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
1,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,9,1,1,DIRECTOR GENERAL’S MESSAGE,DIRECTOR GENERAL’S MESSAGE,,,,,,,,,,,,,,,,,,,
2,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,10,1,1,"MESSAGE BY THE DIRECTOR, ECONOMIC REGULATION AND STRATEGY","MESSAGE BY THE DIRECTOR, ECONOMIC REGULATION AND STRATEGY",,,,,,,,,,,,,,,,,,,
3,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,1,Technology | Interconnected Capacity (MW) | Captive Capacity (MW) | Offgrid Capacity | Total Installed Capacity | % Total Installed,Technology,Interconnected Capacity (MW),,Captive Capacity (MW),Offgrid Capacity,Total Installed Capacity,% Total Installed,,,,,,,,,,,,,
4,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,2,Installed | Effective,,Installed,Effective,,,,,,,,,,,,,,,,,
5,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,3,Hydro | 839.5 | 809.7 | 33.0 | 0.1 | 872.5 | 24.16%,Hydro,839.5,809.7,33.0,0.1,872.5,24.16%,,,,,,,,,,,,,
6,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,4,Geothermal | 940.0 | 876.1 | 3.7 | 943.7 | 26.13%,Geothermal,940.0,876.1,3.7,,943.7,26.13%,,,,,,,,,,,,,
7,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,5,Thermal | 564.8 | 558.4 | 21.3 | 41.0 | 627.1 | 17.36%,Thermal,564.8,558.4,21.3,41.0,627.1,17.36%,,,,,,,,,,,,,
8,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,6,Wind | 435.5 | 425.5 | - | 0.6 | 436.1 | 12.07%,Wind,435.5,425.5,-,0.6,436.1,12.07%,,,,,,,,,,,,,
9,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,7,Solar | 210.3 | 210.3 | 271.3 | 3.4 | 484.9 | 13.43%,Solar,210.3,210.3,271.3,3.4,484.9,13.43%,,,,,,,,,,,,,
10,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,8,Bioenergy | 2.0 | 2.0 | 161.8 | 163.8 | 4.54%,Bioenergy,2.0,2.0,161.8,,163.8,4.54%,,,,,,,,,,,,,
11,Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,9,Imports | 200.0 | 200.0 | - | 200.0,Imports,200.0,200.0,-,,200.0,,,,,,,,,,,,,,
