source_file,page,table_count,row_count
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,9,1,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,10,1,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,13,1,11
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,14,3,2
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,16,2,2
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,17,1,7
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,19,2,28
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,20,2,39
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,21,1,4
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,22,1,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,23,2,3
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,24,1,8
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,25,2,16
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,26,1,17
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,27,2,6
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,28,1,7
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,29,1,11
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,30,1,8
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,31,1,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,32,2,2
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,33,2,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,35,2,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,36,2,2
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,43,1,1
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,44,2,23
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,46,1,25
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,47,4,21
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,48,1,8
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,49,1,8
Bi-Annual Energy & Petroleum Statistics Report 2024_2025.pdf,50,1,1
Biannual Statistics Report 2025-2026.pdf,7,1,2
Biannual Statistics Report 2025-2026.pdf,8,1,2
Biannual Statistics Report 2025-2026.pdf,11,4,11
Biannual Statistics Report 2025-2026.pdf,12,1,1
Biannual Statistics Report 2025-2026.pdf,14,1,2
Biannual Statistics Report 2025-2026.pdf,16,2,1
Biannual Statistics Report 2025-2026.pdf,17,1,2
Biannual Statistics Report 2025-2026.pdf,18,2,5
Biannual Statistics Report 2025-2026.pdf,20,1,17
Biannual Statistics Report 2025-2026.pdf,21,1,17
Biannual Statistics Report 2025-2026.pdf,23,2,12
Biannual Statistics Report 2025-2026.pdf,24,1,17
Biannual Statistics Report 2025-2026.pdf,26,4,8
Biannual Statistics Report 2025-2026.pdf,27,2,3
Biannual Statistics Report 2025-2026.pdf,28,1,1
Biannual Statistics Report 2025-2026.pdf,29,1,1
Biannual Statistics Report 2025-2026.pdf,30,1,3
Biannual Statistics Report 2025-2026.pdf,32,2,3
Biannual Statistics Report 2025-2026.pdf,33,4,6
Biannual Statistics Report 2025-2026.pdf,37,2,2
Biannual Statistics Report 2025-2026.pdf,39,2,3
Biannual Statistics Report 2025-2026.pdf,40,4,9
Biannual Statistics Report 2025-2026.pdf,41,1,17
Biannual Statistics Report 2025-2026.pdf,42,4,26
Biannual Statistics Report 2025-2026.pdf,43,2,29
Biannual Statistics Report 2025-2026.pdf,44,4,20
Biannual Statistics Report 2025-2026.pdf,45,1,8
Biannual Statistics Report 2025-2026.pdf,46,1,8
Biannual Statistics Report 2025-2026.pdf,48,1,1
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,12,1,11
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,13,1,1
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,15,2,8
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,16,2,3
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,17,2,20
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,18,2,15
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,19,2,1
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,20,1,16
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,21,1,13
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,22,2,25
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,23,1,29
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,25,3,14
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,26,1,6
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,27,1,8
EPRA Energy and Petroleum Statistics Report FY 2023-2024_2.pdf,30,1,1
